anyo;liga;equipoId;equipoNombre;estadio;publicoEstadio;equipoDivision;clasificacionFinal;G;Ghome;W;L;DivWin;WCWin;LgWin;WSWin;R;AB;H;B2;B3;HR;BB;SO;SB;CS;HBP;SF;RA;ER;ERA;CG;SHO;SV;IPouts;HA;HRA;BBA;SOA;E;DP;FP;BPF;PPF
1884;NL;CL2;Cleveland Blues;League Park I;;;7;113;;35;77;;;N;N;458;3934;934;147;49;16;170;576;;;;;716;379;343;107;7;0;2984;1046;35;269;482;512;75;897;103;106
1888;AA;CL3;Cleveland Blues;League Park III;;;6;135;;50;82;;;N;N;651;4603;1076;128;59;12;315;559;353;;79;;839;484;372;131;6;1;3513;1235;38;389;500;488;87;915;97;101
1899;NL;CL4;Cleveland Spiders;League Park I;6088;;12;154;;20;134;;;N;;529;5279;1333;142;50;12;289;280;127;;65;;1252;894;637;138;0;0;3792;1844;43;527;215;388;121;937;89;96
1884;AA;CL5;Columbus Buckeyes;Recreation Park I;;;2;110;;69;39;;;N;N;585;3759;901;107;96;40;196;629;;;59;;459;287;268;102;8;1;2887;815;22;172;526;433;74;908;92;93
1891;AA;CL6;Columbus Solons;Recreation Park II;;;6;138;;61;76;;;N;;702;4697;1113;154;61;20;529;530;280;;37;;777;505;375;118;6;0;3640;1141;29;588;502;379;126;935;95;93
2021;AL;CLE;Cleveland Indians;Progressive Field;1114368;C;2;162;81;80;82;N;N;N;N;717;5332;1269;248;22;203;453;1387;109;17;64;36;727;679;434;0;9;39;4224;1281;216;522;1391;86;138;985;101;101
1890;PL;CLP;Cleveland Infants;;;;7;131;;55;75;;;N;;849;4804;1370;213;94;27;509;345;180;;49;;1027;537;423;115;1;0;3431;1386;45;571;325;533;103;907;92;94
1880;NL;CN1;Cincinnati Reds;Bank Street Grounds;;;8;83;;21;59;;;N;;296;2895;649;91;36;7;75;267;;;;;472;193;244;79;3;0;2140;785;10;88;208;437;49;877;98;104
1889;AA;CN2;Cincinnati Red Stockings;League Park I in Cincinnati;;;4;141;;76;63;;;N;N;897;4844;1307;197;96;52;452;511;462;;60;;769;484;350;114;3;8;3729;1270;35;475;562;440;121;926;105;103
1891;AA;CN3;Cincinnati Kelly's Killers;East End Park;;;7;102;;43;57;;;N;;549;3574;838;105;58;28;428;385;164;;36;;643;344;343;86;2;1;2706;921;20;446;331;389;68;913;108;110
1884;UA;CNU;Cincinnati Outlaw Reds;;;;3;103;;69;36;;;N;;703;3786;1027;118;63;26;147;482;;;;;466;242;238;95;11;1;2743;831;17;90;503;532;45;882;111;107
2021;NL;COL;Colorado Rockies;Coors Field;1938645;W;4;161;81;74;87;N;N;N;N;739;5374;1338;275;34;182;491;1356;76;23;58;36;796;748;482;3;6;33;4191;1397;196;539;1269;73;140;987;112;113
2021;AL;DET;Detroit Tigers;Comerica Park;1102621;C;3;162;81;77;85;N;N;N;N;697;5376;1299;236;37;179;490;1514;88;25;44;50;756;681;432;2;7;42;4259;1370;199;571;1259;83;136;986;96;98
1888;NL;DTN;Detroit Wolverines;Recreation Park;;;5;134;;68;63;;;N;N;721;4849;1275;177;72;51;307;396;193;;46;;629;365;274;130;10;1;3597;1115;44;183;522;463;83;919;100;97
