anyo;liga;equipoId;equipoNombre;estadio;publicoEstadio;equipoDivision;clasificacionFinal;G;Ghome;W;L;DivWin;WCWin;LgWin;WSWin;R;AB;H;B2;B3;HR;BB;SO;SB;CS;HBP;SF;RA;ER;ERA;CG;SHO;SV;IPouts;HA;HRA;BBA;SOA;E;DP;FP;BPF;PPF
1884;UA;SPU;St. Paul White Caps;;;;9;9;;2;6;;;N;;24;272;49;13;1;0;7;47;;;;;57;25;317;7;1;0;213;72;1;27;44;47;6;872;60;60
1879;NL;SR1;Syracuse Stars;Star Park I;;;7;71;;22;48;;;N;;276;2611;592;61;19;5;28;238;;;;;462;230;319;64;5;0;1947;775;4;52;132;398;37;873;89;95
1890;AA;SR2;Syracuse Stars;Star Park II;;;7;127;;55;72;;;N;N;698;4469;1158;151;59;14;457;482;292;;35;;831;603;498;115;5;0;3269;1158;28;518;454;391;90;925;90;91
2021;AL;TBA;Tampa Bay Rays;Tropicana Field;761072;E;1;162;81;100;62;Y;N;N;N;857;5507;1336;288;36;222;585;1542;88;42;72;41;651;593;367;1;13;42;4367;1264;184;436;1478;80;130;986;92;91
2021;AL;TEX;Texas Rangers;Globe Life Field;2110258;W;5;162;81;60;102;N;N;N;N;625;5405;1254;225;24;167;433;1381;106;29;58;31;815;758;479;0;3;31;4273;1402;232;513;1239;83;146;986;99;101
1884;AA;TL1;Toledo Blue Stockings;League Park;;;8;109;;46;58;;;N;N;463;3712;859;153;48;8;157;545;;;26;;571;322;306;103;9;1;2838;885;12;169;501;469;67;900;103;105
1890;AA;TL2;Toledo Maumees;Speranza Park;;;4;134;;68;64;;;N;N;739;4575;1152;152;108;24;486;558;421;;71;;689;459;356;122;4;2;3478;1122;23;429;533;419;75;925;103;102
2021;AL;TOR;Toronto Blue Jays;Sahlen Field;805901;E;4;162;80;91;71;N;N;N;N;846;5476;1455;285;13;262;496;1218;81;20;51;35;663;610;391;1;14;34;4216;1257;209;473;1468;90;122;984;102;101
1882;NL;TRN;Troy Trojans;Troy Ball Club Grounds;;;7;85;;35;48;;;N;;430;3057;747;116;59;12;109;298;;;;;522;259;308;81;6;0;2274;836;13;165;184;432;70;887;95;98
1872;NA;TRO;Troy Haymakers;Haymakers' Grounds;;;5;25;;15;10;;;N;;273;1099;330;58;8;5;9;14;6;7;;;191;65;260;17;2;1;675;277;2;10;19;151;9;861;101;100
2021;NL;WAS;Washington Nationals;Nationals Park;1465543;E;5;162;81;65;97;N;N;N;N;724;5385;1388;272;20;182;573;1303;56;26;84;31;820;743;480;1;8;36;4183;1364;247;548;1346;96;116;983;95;96
1884;UA;WIL;Wilmington Quicksteps;;;;12;17;;2;16;;;N;;35;521;91;8;8;2;22;123;;;;;114;48;304;15;0;0;426;165;4;18;113;104;10;860;103;109
1882;NL;WOR;Worcester Ruby Legs;Worcester Driving Park Grounds;;;8;84;;18;66;;;N;;379;2984;689;109;57;16;113;303;;;;;652;308;375;75;0;0;2215;964;21;151;195;468;66;878;102;107
1960;AL;WS1;Washington Senators;;743404;;5;154;77;73;81;;;N;N;672;5248;1283;205;43;147;584;883;52;43;;;696;589;377;34;10;35;4215;1392;130;538;775;165;159;973;101;102
1971;AL;WS2;Washington Senators;R.F.K. Stadium;655156;E;5;159;81;63;96;N;;N;N;537;5290;1219;189;30;86;575;956;68;45;28;35;660;583;370;30;10;26;4256;1376;132;554;762;141;170;977;94;95
1872;NA;WS3;Washington Olympics;Olympics Grounds;;;10;9;;2;7;;;N;;54;365;91;10;3;0;4;4;;3;;;140;56;638;9;0;0;237;148;0;5;1;96;7;786;94;98
1872;NA;WS4;Washington Nationals;Nationals Grounds;;;11;11;;0;11;;;N;;80;451;99;6;1;0;1;3;;;;;190;68;618;11;0;0;297;193;2;3;2;120;2;774;129;141
1873;NA;WS5;Washington Blue Legs;Olympics Grounds;;;7;39;;8;31;;;N;;283;1560;408;40;19;2;20;36;11;8;;;485;186;484;39;0;0;1038;594;11;26;10;348;27;812;96;102
1875;NA;WS6;Washington Nationals;Olympics Grounds;;;9;28;;5;23;;;N;;107;1004;194;14;8;0;6;42;23;7;;;338;105;377;23;0;0;752;397;6;10;6;285;8;791;96;106
1884;AA;WS7;Washington Nationals;Athletic Park;;;13;63;;12;51;;;N;N;248;2166;434;61;24;6;100;377;;;16;;481;242;401;62;3;0;1631;644;21;110;235;400;40;858;88;93
1889;NL;WS8;Washington Nationals;Swampdoodle Grounds;;;8;127;;41;83;;;N;N;632;4395;1105;151;57;25;466;456;232;;43;;892;573;468;113;1;0;3309;1261;37;527;388;519;91;904;94;98
1891;AA;WS9;Washington Statesmen;Boundary Field;;;9;139;;44;91;;;N;;691;4715;1183;147;84;19;468;485;219;;76;;1067;634;483;123;2;2;3543;1420;44;566;486;589;95;900;95;100
1884;UA;WSU;Washington Nationals;;;;7;112;;47;65;;;N;;572;3926;931;120;26;4;118;558;;;;;679;363;343;94;5;0;2861;992;16;168;684;625;55;869;96;98
